workload,task_id,TI_NNLS,TI_GM,SI_NNLS,SI_GM
w2,24,0.5207946414333299,0.0,0.4954789230040803,0.6399735662999693
w2,28,0.0,,1.0,
w2,29,0.0,0.0,0.2135223555070881,0.4320031022645446
w2,31,0.596356590465826,,1.0,
w2,34,0.0,,1.0,
w2,39,0.26526658191120944,,1.0,
w2,46,0.0,0.0,0.33333333333333404,1.0
w2,19,4.0569267970802514e-05,0.0,0.9999999999999988,1.0
w2,20,0.34524258300211397,0.0,1.0,1.0
w2,16,0.18474835310130866,0.0,1.0,1.0
w2,0,0.0,0.0,0.8749999999999999,0.875
w2,35,0.026666666666666616,0.0,1.0,1.0
w2,42,5.7356551265264066e-05,0.0,1.0,1.0
w2,47,5.551115123125783e-16,0.0,1.0,1.0
w2,11,0.019761790048802186,0.0,1.0,1.0
w2,17,0.0,0.0,0.5758643638896819,1.0
w2,30,0.4632197816438882,0.0,1.0,1.0
w2,40,5.73565512659302e-05,0.0,1.0,1.0
w2,13,0.26489983093747993,0.0,0.9506491109290842,0.7998381877022657
w2,14,0.3395426137093246,0.0,1.0,1.0
w2,33,0.05913388725197466,0.0,1.0,1.0
w2,44,0.0,0.0,1.0,1.0
w2,45,0.48988618658258043,,1.0,
w2,2,0.3349779204229304,0.0,1.0,1.0
w2,3,0.17569173753293033,0.0,1.0,1.0
w2,6,0.3202072327046338,0.0,1.0,1.0
w2,8,-2.220446049250313e-16,,1.0,
w2,21,0.0,,1.0,
w2,23,0.6173071611497936,,1.0,
w2,25,0.5673157256617006,,1.0,
w2,26,0.0,,1.0,
w2,36,0.004057826376232976,0.0,1.0,1.0
w2,48,0.7271531822729571,0.0,1.0,1.0
w2,49,0.4772842053998897,0.0,1.0,1.0
w2,37,0.026789746506253986,0.0,1.0,1.0
w3,0,0.0,0.0,0.18519097045171345,0.1925925925925926
w3,5,0.0,0.0,0.34210526315789475,0.34210526315789475
w3,6,0.025461896719381705,0.0,0.3124524215776349,0.3117408906882591
w3,8,0.10675691723073266,0.0,0.29630340104155567,0.29193899782135074
w3,10,0.0,0.0,0.3416787047163523,0.48828828828828835
w3,13,0.0,0.0,0.26900584795321636,0.26900584795321636
w3,15,0.04166666666666674,0.0,0.29629629629629634,0.29477484842291707
w3,17,0.00666666666666671,0.0,1.0,1.0
w3,34,1.8689213333589194e-05,0.0,1.0,1.0
w3,49,8.312551953526537e-05,0.0,0.9375,0.9375
w3,9,9.784352862907131e-05,0.0,1.0,1.0
w3,24,0.4999999999973417,0.0,0.5115123568214139,0.45757871273335193
w3,29,0.006807853220113458,0.0,1.0,1.0
w3,18,0.3814014799797576,0.0,1.0,1.0
w3,28,0.33214820510069454,0.0,1.0,1.0
w3,31,0.3907833376298876,0.0,0.654616580666125,0.47995508734021775
w3,42,0.018328710544279425,0.0,0.6428571428571428,0.6455026455026455
w3,11,1.1102230246251565e-16,0.0,0.25679281639748675,0.4260162601626016
w3,25,0.0,0.0,0.2921957523678197,0.30274074074074075
w3,26,0.0,0.0,0.5334821428571428,0.5334821428571429
w3,27,0.0,0.0,0.2679905953397332,0.32474137931034486
w3,35,0.0,0.0,0.2842102212774374,0.2573787878787879
w3,36,0.12730675013609127,0.0,1.0,1.0
w3,37,0.0,0.0,0.5333333333333334,0.5333333333333333
w3,22,0.05489583447140178,0.0,1.0,1.0
w3,32,0.4999999999999991,0.0,1.0,1.0
w3,38,0.18623586989429874,0.0,1.0,1.0
w3,45,0.7368421052631579,0.0,1.0,1.0
w3,46,0.5714285714285714,,1.0,
w3,12,0.0022658802245695275,0.0,1.0,1.0
w3,41,0.04927707715881435,0.0,1.0,1.0
w3,43,0.0,0.0,0.9999999999999996,1.0
w3,16,6.661338147750939e-16,0.0,1.0,1.0
w3,3,0.38826289955511994,0.0,1.0,1.0
w3,14,0.0,,0.5,
w3,30,0.02908460192448059,0.0,1.0,1.0
w3,39,0.17459651144405186,0.0,1.0,1.0
w3,40,0.5075386850715005,0.0,1.0,1.0
w3,1,0.5033231627945408,0.0,1.0,1.0
w3,2,0.0,,1.0,
w3,4,0.21509109401052962,,1.0,
w3,7,0.4789230430506455,0.0,1.0,1.0
w3,19,0.0,,1.0,
w3,20,0.4335221279065703,,1.0,
w3,21,0.0022222222222222365,0.0,1.0,1.0
w3,23,0.0,,1.0,
w3,33,0.5714285714285714,,1.0,
w3,47,3.138377333422593e-05,0.0,1.0,1.0
w4,0,0.0,0.0,0.5360893942983495,0.5357142857142857
w4,2,0.0018839133327547275,0.0,0.5104166666666666,0.5108892921960073
w4,5,0.016666666666666607,0.0,0.5681818181818181,0.5672348484848485
w4,7,0.0,0.0,0.5681818181818182,0.5681818181818182
w4,10,0.0,0.0,0.5681818181818182,0.5681818181818182
w4,21,0.0,0.0,0.5007588149439299,0.5256410256410257
w4,29,0.00030692499520867944,0.0,0.5681818181818182,0.5681818181818182
w4,32,0.0,0.0,1.0,1.0
w4,36,0.0,0.0,0.40767089616810304,0.5
w4,38,0.0,0.0,0.5681818181818179,0.5681818181818182
w4,46,0.002407222591853442,0.0,1.0,1.0
